Nested Sampling Global Log-Evidence           :    0.470472230844574923E+02  +/-    0.160486181789884413E+00

Dim No.       Mean        Sigma
   1    0.395120000000000626E+01                         NaN
   2    0.793489999999998297E+01    0.347551816394645020E-06
   3    0.000000000000000000E+00    0.000000000000000000E+00
   4    0.000000000000000000E+00    0.000000000000000000E+00
   5    0.000000000000000000E+00    0.000000000000000000E+00
   6    0.000000000000000000E+00    0.000000000000000000E+00
   7    0.000000000000000000E+00    0.000000000000000000E+00
   8    0.166934582562315683E+03    0.160487054810572189E+02
   9    0.202375264004366340E+04    0.501321727472555345E+01
  10    0.132052616774056802E+00    0.344140320186638454E-01
  11    0.519217566989454298E+02    0.125255682639756394E+01
  12   -0.990333162833574505E+02    0.135589506720713509E+02
  13    0.551557264809168117E+02    0.126299869697180833E+01
  14    0.550546079649522380E+01    0.945810261229932614E+00
  15    0.770486320555359594E+01    0.157136714376821551E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.395120000000000005E+01
   2    0.793489999999999984E+01
   3    0.000000000000000000E+00
   4    0.000000000000000000E+00
   5    0.000000000000000000E+00
   6    0.000000000000000000E+00
   7    0.000000000000000000E+00
   8    0.169095455852969366E+03
   9    0.202176371884846162E+04
  10    0.128413367492524355E+00
  11    0.524979701476579734E+02
  12   -0.104868989179318348E+03
  13    0.548189597777968629E+02
  14    0.464261176940331577E+01
  15    0.675142074674305626E+01

MAP Parameters
Dim No.        Parameter
   1    0.395120000000000005E+01
   2    0.793489999999999984E+01
   3    0.000000000000000000E+00
   4    0.000000000000000000E+00
   5    0.000000000000000000E+00
   6    0.000000000000000000E+00
   7    0.000000000000000000E+00
   8    0.169095455852969366E+03
   9    0.202176371884846162E+04
  10    0.128413367492524355E+00
  11    0.524979701476579734E+02
  12   -0.104868989179318348E+03
  13    0.548189597777968629E+02
  14    0.464261176940331577E+01
  15    0.675142074674305626E+01
