Nested Sampling Global Log-Evidence           :    0.513922412673235627E+02  +/-    0.163093145760219743E+00

Dim No.       Mean        Sigma
   1    0.395119999999999161E+01    0.151962623405241504E-06
   2    0.793489999999998208E+01    0.146000965999554269E-06
   3    0.000000000000000000E+00    0.000000000000000000E+00
   4    0.000000000000000000E+00    0.000000000000000000E+00
   5    0.000000000000000000E+00    0.000000000000000000E+00
   6    0.000000000000000000E+00    0.000000000000000000E+00
   7    0.000000000000000000E+00    0.000000000000000000E+00
   8    0.849384101910916343E+03    0.114438768232624696E+03
   9    0.207243248445181871E+04    0.998668242840121678E+01
  10    0.294403617383059146E+00    0.417772700462895608E-01
  11    0.952421672415435694E+02    0.406554537959150419E+00
  12    0.153678062311250841E+03    0.387520791781721101E+02
  13    0.920350423796069634E+02    0.922214807625942323E+00
  14    0.266524243346046541E+01    0.123569835991941224E+01
  15    0.414556922573884634E+01    0.889683455308521998E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.395120000000000005E+01
   2    0.793489999999999984E+01
   3    0.000000000000000000E+00
   4    0.000000000000000000E+00
   5    0.000000000000000000E+00
   6    0.000000000000000000E+00
   7    0.000000000000000000E+00
   8    0.825235823768226737E+03
   9    0.207375992273916654E+04
  10    0.286342930250660099E+00
  11    0.952747153168134986E+02
  12    0.159209499145684106E+03
  13    0.919654591652252691E+02
  14    0.245835777085631646E+01
  15    0.340733828560992036E+01

MAP Parameters
Dim No.        Parameter
   1    0.395120000000000005E+01
   2    0.793489999999999984E+01
   3    0.000000000000000000E+00
   4    0.000000000000000000E+00
   5    0.000000000000000000E+00
   6    0.000000000000000000E+00
   7    0.000000000000000000E+00
   8    0.825235823768226737E+03
   9    0.207375992273916654E+04
  10    0.286342930250660099E+00
  11    0.952747153168134986E+02
  12    0.159209499145684106E+03
  13    0.919654591652252691E+02
  14    0.245835777085631646E+01
  15    0.340733828560992036E+01
