Nested Sampling Global Log-Evidence           :    0.514246412292902804E+02  +/-    0.171834460848432929E+00

Dim No.       Mean        Sigma
   1    0.395120000000002713E+01                         NaN
   2    0.793490000000000872E+01                         NaN
   3    0.000000000000000000E+00    0.000000000000000000E+00
   4    0.000000000000000000E+00    0.000000000000000000E+00
   5    0.000000000000000000E+00    0.000000000000000000E+00
   6    0.000000000000000000E+00    0.000000000000000000E+00
   7    0.000000000000000000E+00    0.000000000000000000E+00
   8    0.160641981511099993E+04    0.467673165950587304E+03
   9    0.206206597909678385E+04    0.240901210578587355E+01
  10    0.907180603442953704E+00    0.613453941392056498E-02
  11    0.906275855006166182E+02    0.964253606914931893E+00
  12    0.755442687849003303E+01    0.311071851967674995E+01
  13    0.636846005013793572E+02    0.145474464064739561E+01
  14    0.194743634647445307E+01    0.999043162370868543E+00
  15    0.514353430997442551E+01    0.110638251934305210E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.395120000000000005E+01
   2    0.793489999999999984E+01
   3    0.000000000000000000E+00
   4    0.000000000000000000E+00
   5    0.000000000000000000E+00
   6    0.000000000000000000E+00
   7    0.000000000000000000E+00
   8    0.144192120391873073E+04
   9    0.206128382561781154E+04
  10    0.905719852557456351E+00
  11    0.913066285787387670E+02
  12    0.810895888341238447E+01
  13    0.646735670015438586E+02
  14    0.157277100712053208E+01
  15    0.410438589631024797E+01

MAP Parameters
Dim No.        Parameter
   1    0.395120000000000005E+01
   2    0.793489999999999984E+01
   3    0.000000000000000000E+00
   4    0.000000000000000000E+00
   5    0.000000000000000000E+00
   6    0.000000000000000000E+00
   7    0.000000000000000000E+00
   8    0.144192120391873073E+04
   9    0.206128382561781154E+04
  10    0.905719852557456351E+00
  11    0.913066285787387670E+02
  12    0.810895888341238447E+01
  13    0.646735670015438586E+02
  14    0.157277100712053208E+01
  15    0.410438589631024797E+01
