Nested Sampling Global Log-Evidence           :    0.379902229690314002E+02  +/-    0.153347308930831094E+00

Dim No.       Mean        Sigma
   1    0.395119999999997873E+01    0.355135658020168081E-06
   2    0.793489999999999096E+01    0.842936970217880693E-07
   3    0.000000000000000000E+00    0.000000000000000000E+00
   4    0.000000000000000000E+00    0.000000000000000000E+00
   5    0.000000000000000000E+00    0.000000000000000000E+00
   6    0.000000000000000000E+00    0.000000000000000000E+00
   7    0.000000000000000000E+00    0.000000000000000000E+00
   8    0.977342906763414248E+03    0.217652336934194750E+03
   9    0.220294164637977292E+04    0.249290641721609738E+02
  10    0.325702255627879356E+00    0.492885368817678332E-01
  11    0.836327121035550505E+02    0.101884850716825714E+01
  12   -0.931767733315468405E+02    0.114833934797496354E+03
  13    0.615081487080563392E+02    0.437627166698295511E+01
  14    0.226809306953154088E+01    0.174496539715846555E+01
  15    0.504108680483229143E+01    0.849575334212826938E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.395120000000000005E+01
   2    0.793489999999999984E+01
   3    0.000000000000000000E+00
   4    0.000000000000000000E+00
   5    0.000000000000000000E+00
   6    0.000000000000000000E+00
   7    0.000000000000000000E+00
   8    0.823079287154249528E+03
   9    0.222054393523673389E+04
  10    0.323068818041275685E+00
  11    0.837992821292408507E+02
  12   -0.132292090564645719E+03
  13    0.604034038977572720E+02
  14    0.252727902191086484E+00
  15    0.509993602008248104E+01

MAP Parameters
Dim No.        Parameter
   1    0.395120000000000005E+01
   2    0.793489999999999984E+01
   3    0.000000000000000000E+00
   4    0.000000000000000000E+00
   5    0.000000000000000000E+00
   6    0.000000000000000000E+00
   7    0.000000000000000000E+00
   8    0.823079287154249528E+03
   9    0.222054393523673389E+04
  10    0.323068818041275685E+00
  11    0.837992821292408507E+02
  12   -0.132292090564645719E+03
  13    0.604034038977572720E+02
  14    0.252727902191086484E+00
  15    0.509993602008248104E+01
