Nested Sampling Global Log-Evidence           :    0.773391305301619436E+01  +/-    0.158538234248780358E+00

Dim No.       Mean        Sigma
   1    0.400000000000000089E+01                         NaN
   2    0.800000000000000178E+01                         NaN
   3    0.000000000000000000E+00    0.000000000000000000E+00
   4    0.000000000000000000E+00    0.000000000000000000E+00
   5    0.000000000000000000E+00    0.000000000000000000E+00
   6    0.000000000000000000E+00    0.000000000000000000E+00
   7    0.000000000000000000E+00    0.000000000000000000E+00
   8    0.759979655828833188E+03    0.150494254764186365E+03
   9    0.203179959341208428E+04    0.742395380044736042E+00
  10    0.744668207941512006E+00    0.428843103787751451E-01
  11    0.633768592261917121E+02    0.316025794497348578E+01
  12   -0.909958149247953827E+02    0.441600098650558870E+01
  13    0.426499341147097795E+02    0.107042685441087415E+01
  14    0.381067918314225196E+01    0.260509943069421324E+01
  15    0.504888044825394289E+01    0.872966326736025700E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.400000000000000000E+01
   2    0.800000000000000000E+01
   3    0.000000000000000000E+00
   4    0.000000000000000000E+00
   5    0.000000000000000000E+00
   6    0.000000000000000000E+00
   7    0.000000000000000000E+00
   8    0.811777814249653261E+03
   9    0.203155694739578007E+04
  10    0.763807928496861410E+00
  11    0.628127636481646761E+02
  12   -0.911892385570243249E+02
  13    0.427088253184182634E+02
  14    0.218156761631404539E+01
  15    0.423481396053240999E+01

MAP Parameters
Dim No.        Parameter
   1    0.400000000000000000E+01
   2    0.800000000000000000E+01
   3    0.000000000000000000E+00
   4    0.000000000000000000E+00
   5    0.000000000000000000E+00
   6    0.000000000000000000E+00
   7    0.000000000000000000E+00
   8    0.811777814249653261E+03
   9    0.203155694739578007E+04
  10    0.763807928496861410E+00
  11    0.628127636481646761E+02
  12   -0.911892385570243249E+02
  13    0.427088253184182634E+02
  14    0.218156761631404539E+01
  15    0.423481396053240999E+01
